monitoredObjectSiteId,displayedName,timeCaptured,cpuIdle-1,cpuIdle-60,cpuIdle-300
2.0.0.101,Card Slot - A,2021-07-26 14:00:00,97.69,97.72,97.72
2.0.0.102,Card Slot - A,2021-07-26 14:05:00,98.2,98.08,98.07
2.0.0.103,Card Slot - 1,2021-07-26 14:05:05,97.73,98.13,98.14
2.0.0.103,Card Slot - A,2021-07-26 14:05:05,98.4,98.34,98.33
2.0.0.104,Card Slot - 1,2021-07-26 14:00:00,98.8,98.67,98.65
2.0.0.104,Card Slot - A,2021-07-26 14:00:00,98.38,98.31,98.32
2.0.0.105,Card Slot - A,2021-07-26 14:05:05,98.08,97.99,98.0
2.0.0.106,Card Slot - A,2021-07-26 14:05:00,98.17,98.08,98.03
2.0.0.107,Card Slot - A,2021-07-26 14:05:06,97.45,97.65,97.68
2.0.0.108,Card Slot - A,2021-07-26 14:00:01,97.66,97.88,97.82
2.0.0.109,Card Slot - A,2021-07-26 14:05:05,97.71,97.56,97.57
2.0.0.110,Card Slot - A,2021-07-26 14:00:00,98.06,98.09,98.08
