monitoredObjectSiteId,displayedName,timeCaptured,memoryUsed,memoryAvailable
2.0.0.101,Card Slot - A,2021-07-26 14:10:39,1714603,1095680
2.0.0.102,Card Slot - A,2021-07-26 14:10:39,1712215,1130496
2.0.0.103,Card Slot - 1,2021-07-26 14:10:39,3565076,3056640
2.0.0.103,Card Slot - A,2021-07-26 14:10:39,759066,2417664
2.0.0.104,Card Slot - 1,2021-07-26 14:10:39,3548356,3072000
2.0.0.104,Card Slot - A,2021-07-26 14:10:39,738887,2465792
2.0.0.105,Card Slot - A,2021-07-26 14:10:39,1715194,1129472
2.0.0.106,Card Slot - A,2021-07-26 14:10:39,1715223,1129472
2.0.0.107,Card Slot - A,2021-07-26 14:10:40,1725985,1129472
2.0.0.108,Card Slot - A,2021-07-26 14:10:39,1723053,1129472
2.0.0.109,Card Slot - A,2021-07-26 14:10:39,1740518,1128448
2.0.0.110,Card Slot - A,2021-07-26 14:10:39,1713311,1130496
