monitoredObjectSiteId,timeCaptured,availableMemoryInKb,systemCpuUsage,systemMemoryUsage,systemMemoryUsageInKb
2.0.0.101,2021-07-26 12:35:00,,3,,
2.0.0.102,2021-07-26 12:30:00,,3,,
2.0.0.103,2021-07-26 12:30:01,,2,,
2.0.0.104,2021-07-26 12:30:01,,2,,
2.0.0.105,2021-07-26 12:30:00,,3,,
2.0.0.106,2021-07-26 12:30:00,,3,,
2.0.0.107,2021-07-26 12:30:01,,3,,
2.0.0.108,2021-07-26 12:30:01,,3,,
2.0.0.109,2021-07-26 12:30:01,,3,,
2.0.0.110,2021-07-26 12:30:00,,3,,
2.0.0.111,2021-07-26 12:30:01,,3,,
2.0.0.112,2021-07-26 12:30:00,,2,,
2.0.0.113,2021-07-26 12:35:01,,2,,
2.0.0.114,2021-07-26 12:30:00,,2,,
2.0.0.115,2021-07-26 12:30:01,,2,,
2.0.0.116,2021-07-26 12:30:01,,3,,
2.0.0.117,2021-07-26 12:35:00,,3,,
2.0.0.118,2021-07-26 12:30:01,,4,,
2.0.0.119,2021-07-26 12:30:01,,3,,
2.0.0.120,2021-07-26 12:30:00,,3,,
